name,email, phone, address, company, notes
Alviola Village CES,,,,
Amparo CES WAPD,,,,
BCPS 4,,,,
Brgy. Maon,,,,
BRGY. TAGABACA,,,,
Bugabus E/S,,,,
Buhangin E/S,,,,
Butuan City Special Education Center,,,,
Cabcabon NHS,,,,
Doongan Integrated School,,,,
Pedro D. Duncano E/S,,,,
Pinamanculan NHS,,,,
Pinamanculan SHS,,,,
San Mateo Annex ES,,,,
SPED Becerro,,,,
SPED Martinez,,,,
SPED Togonon,,,,
SPED Ybanes,,,,
Teacher's Village c/o Elizabeth,,,,
Tungao NHS,,,,
UCCP Ampayon,,,,
West Tungao E/S,,,,
